12:59:53.168028 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. (141)
13:00:29.516575 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.517071 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.517663 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.518250 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.518836 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.519414 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.519989 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.520564 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.521145 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.521730 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.522310 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.522896 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.523479 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.524056 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.524663 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.525270 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.525877 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.526460 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.527037 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.527607 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.528187 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.528763 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.529342 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.529929 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.530507 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.531084 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.531656 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.532230 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.532800 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.533360 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.533936 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.534507 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.535076 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.535646 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.536229 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.536812 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.537395 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.537984 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.538575 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.539165 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.539762 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.540349 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.540935 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.541522 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.542109 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.542693 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.543276 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.543867 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.544433 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.545003 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.545572 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.546153 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.546727 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.547296 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.547857 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.548426 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.549020 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.549603 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.550201 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.550787 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.551374 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.551954 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.552525 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.553095 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.553661 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.554228 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.554814 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.555399 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.555986 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.556565 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.557139 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.557713 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.558295 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.558885 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.559473 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.560057 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.560642 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.561251 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.561838 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.562416 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.563003 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.563600 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.564193 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.564772 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.565374 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.565960 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.566540 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.567120 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.567693 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.568268 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.568855 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.569443 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.570028 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.570602 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.571171 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.571733 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.572295 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.572883 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.573480 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.574112 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.574698 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.575309 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.575889 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.576466 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.577044 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.577616 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.578184 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.578758 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.579333 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.579921 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.580500 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.581077 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.581649 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.582216 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.582781 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.583343 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.583907 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.584467 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.585027 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.585589 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.586152 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.586715 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.587277 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.587854 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.588439 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.589023 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.589607 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.590196 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.590770 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.591368 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.591974 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.592560 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.593147 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.593722 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.594303 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.594891 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.595479 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.596079 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.596654 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.597236 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.597817 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.598395 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.598968 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
13:00:29.599544 IP 10.0.0.3.12345 > 10.0.0.2.12345: UDP, length 16
