12:53:29.105601 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. (141)
12:55:25.259902 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.260492 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.261083 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.261675 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.262267 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.262849 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.263426 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.264014 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.264602 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.265173 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.265754 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.266319 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.266894 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.267480 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.268054 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.268618 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.269182 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.269754 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.270337 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.270924 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.271508 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.272086 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.272664 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.273271 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.273863 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.274700 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.275286 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.275888 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.276473 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.277051 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.277622 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.278196 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.278784 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
